Lab Id,Laboratory
3130,"[Afghanistan, Kabul] Central Veterinary Diagnostic and Research Laboratory"
1987,"[Afghanistan, Kabul] National Public Health Laboratory"
251,"[Albania, Tirana] Institute of Public Health"
216,"[Algeria, Algiers] Institut Pasteur d'Algerie"
3647,"[American Samoa, Fagaala] LBJ Trpoical Medicine Centre"
3181,"[Andorra, a] a"
2315,"[Antarctica, na] na"
1390,"[Argentina, Buenos Aires] CEMIC University Hospital"
2128,"[Argentina, Buenos Aires] Instituto Nacional Enfermedades Infecciosas C.G.Malbran"
1026,"[Argentina, Buenos Aires] Instituto Nacional de Enfermedades Infecciosas"
3338,"[Argentina, Buenos Aires] Instituto Nacional de Enfermedades Infecciosas Dr. C.G. Malbrán"
2311,"[Argentina, Mar del Plata] Instituto Nacional de Epidemiología Juan Hector Jara"
2257,"[Argentina, Hurlingham] Instituto Nacional de Tecnología Agropecuaria (INTA)"
2258,"[Argentina, Buenos Aires] Instituto Nacional de Tecnología Agropecuaria (INTA)"
1391,"[Argentina, Mar del Plata] Intituto Nacional de Epidemiologia"
2310,"[Argentina, Mar del Plata ] Laboratorio de Virologia del Instituto Nacional de Epidemiolog ..."
1529,"[Argentina, CABA Pcia. de Buenos Aires] Servicio de Virosis Respiratorias INEI ANLIS Carlo ..."
1575,"[Argentina, Capital Federal- Buenos Aires] Servicio de Virosis Respiratorias INEI-ANLIS ""C ..."
1030,"[Armenia, Yerevan] Centre for Diseases Control and Prevention"
2531,"[Armenia, Yerevan] National Center for Disease Control and Prevention"
3556,"[Australia, Sydney] 4Cyte Pathology"
1883,"[Australia, Prahran] Alfred Hospital"
269,"[Australia, Heidleberg] Austin Health"
2209,"[Australia, Wayville] Australian Clinical Laboratories"
316,"[Australia, Geelong] CSIRO Australian Animal Health Laboratory"
144,"[Australia, Parkville] CSL Ltd"
2267,"[Australia, Malvern] Cabrini Pathology"
181,"[Australia, Garran] Canberra Hospital"
177,"[Australia, Sydney] Childrens Hospital Westmead"
208,"[Australia, Westmead] Clinical Virology Unit, CDIM"
3043,"[Australia, Waurn Ponds, Geelong] Deakin University"
1137,"[Australia, Melbourne] Department of Human Services, Infectious Diseases Unit"
2122,"[Australia, Heidleberg] Dorevtich Pathology"
2146,"[Australia, Macquarie Park] Douglass Hanly Moir Pathology"
1420,"[Australia, Menangle] Elizabeth Macarthur Agricultural Institute"
3648,"[Australia, Flinders] Flinders Medical Centre"
3558,"[Australia, Melbourne] GISAID Initiative"
2029,"[Australia, Hobart] Hobart Pathology"
260,"[Australia, Darwin] Influenza Surveillance Centre for Disease Control"
37,"[Australia, Adelaide] Institute of Medical and Veterinary Science (IMVS)"
1119,"[Australia, Lambton ] John Hunter Hospital"
1120,"[Australia, Lambton] John Hunter Hospital, Virology Unit, Clinical Microbiology"
2165,"[Australia, Lismore] Lismore Base Hospital"
1442,"[Australia, Collingwood] Melbourne Pathology"
141,"[Australia, Clayton] Monash Medical Centre"
3044,"[Australia, Clayton] Monash University"
132,"[Australia, Nedlands ] Pathwest QE II Medical Centre"
143,"[Australia, Sydney] Prince of Wales Hospital"
140,"[Australia, Perth] Princess Margaret Hospital for Children"
3420,"[Australia, Brisbane] Queensland Children's Hospital"
2537,"[Australia, Coopers Plains] Queensland Health Forensic and Scientific Services"
128,"[Australia, Coopers Plains] Queensland Health Forensic and Scientific Services"
1138,"[Australia, Parkville] Royal Chidrens Hospital"
147,"[Australia, Casuarina] Royal Darwin Hospital"
266,"[Australia, Hobart] Royal Hobart Hospital"
1585,"[Australia, Parkville] Royal Melbourne Hospital"
270,"[Australia, Camperdown] Royal Prince Alfred Hospital"
3308,"[Australia, Melbourne] ST Vincent Hospital"
3639,"[Australia, Parkville ] Seqirus Pty Ltd (CSL Group)"
