column_name,required_column,description
bs-sample_name,Required,Identifier name used for BioSample. Max length is 50 characters.
bs-sample_title,Required,Descriptive title for sample.
bs-sample_description,Optional,Optional description for sample.
bs-isolate,Required,identification or description of the specific individual from which this sample was obtained
bs-host,"At least one field required. Group: At least one required: Group ""Source","At least one required: Group ""Source"". The natural (as opposed to laboratory) host to the organism from which the sample was obtained. Use the full taxonomic name, eg, ""Homo sapiens""."
bs-isolation_source,"At least one field required. Group: At least one required: Group ""Source","At least one required: Group ""Source"". Describes the physical, environmental and/or local geographical source of the biological sample from which the sample was derived."
bs-abs_air_humidity,Required,actual mass of water vapor - mh20 - present in the air water vapor mixture
bs-air_temp,Required,temperature of the air at the time of sampling
bs-build_occup_type,Required,primary function for which a building or discrete part of a building is intended to be used
bs-building_setting,Required,location (geography) where a building is set
bs-carb_dioxide,Required,carbon dioxide (gas) amount or concentration at the time of sampling
bs-env_broad_scale,Required,Add terms that identify the major environment type(s) where your sample was collected. Recommend subclasses of biome [ENVO:00000428]. Multiple terms can be separated by one or more pipes e.g.:  mangrove biome [ENVO:01000181]|estuarine biome [ENVO:01000020]
bs-env_local_scale,Required,"Add terms that identify environmental entities having causal influences upon the entity at time of sampling, multiple terms can be separated by pipes, e.g.:  shoreline [ENVO:00000486]|intertidal zone [ENVO:00000316]"
bs-env_medium,Required,Add terms that identify the material displaced by the entity at time of sampling. Recommend subclasses of environmental material [ENVO:00010483]. Multiple terms can be separated by pipes e.g.: estuarine water [ENVO:01000301]|estuarine mud [ENVO:00002160]
bs-filter_type,Required,device which removes solid particulates or airborne molecular contaminants
bs-geo_loc_name,Required,"Geographical origin of the sample; use the appropriate name from this list http://www.insdc.org/documents/country-qualifier-vocabulary. Use a colon to separate the country or ocean from more detailed information about the location, eg ""Canada: Vancouver"" or ""Germany: halfway down Zugspitze, Alps"""
bs-heat_cool_type,Required,methods of conditioning or heating a room or building
bs-indoor_space,Required,"a distinguishable space within a structure, the purpose for which discrete areas of a building is used"
bs-lat_lon,Required,"The geographical coordinates of the location where the sample was collected. Specify as degrees latitude and longitude in format ""d[d.dddd] N|S d[dd.dddd] W|E"", eg, 38.98 N 77.11 W"
bs-light_type,Required,"application of light to achieve some practical or aesthetic effect. Lighting includes the use of both artificial light sources such as lamps and light fixtures, as well as natural illumination by capturing daylight. Can also include absence of light"
bs-occup_samp,Required,number of occupants present at time of sample within the given space
bs-occupant_dens_samp,Required,average number of occupants at time of sampling per square footage
bs-organism_count,Required,"total count of any organism per gram or volume of sample,should include name of organism followed by count; can include multiple organism counts"
bs-rel_air_humidity,Required,"partial vapor and air pressure, density of the vapor and air, or by the actual mass of the vapor and air"
bs-source_uvig,Required,Type of dataset from which the UViG was obtained
bs-space_typ_state,Required,customary or normal state of the space
bs-typ_occupant_dens,Required,customary or normal density of occupants
bs-ventilation_type,Required,ventilation system used in the sampled premises
bs-virus_enrich_appr,Required,"Approach used to enrich the sample for viruses, if any. If more than one approach was used, include multiple ‘virus_enrich_appr’ fields."
bs-address,Optional,The street name and building number where the sampling occurred
bs-adj_room,Optional,"List of rooms (room number, room name) immediately adjacent to the sampling room"
bs-aero_struc,Optional,"Aerospace structures typically consist of thin plates with stiffeners for the external surfaces, bulkheads and frames to support the shape and fasteners such as welds, rivets, screws and bolts to hold the components together, e.g., plane, glider"
bs-amount_light,Optional,"The unit of illuminance and luminous emittance, measuring luminous flux per unit area"
bs-arch_struc,Optional,"An architectural structure is a human-made, free-standing, immobile outdoor construction, e.g., building, shed, home"
bs-avg_dew_point,Optional,The average of dew point measures taken at the beginning of every hour over a 24 hour period on the sampling day
bs-avg_occup,Optional,Daily average occupancy of room. Indicate the number of person(s) daily occupying the sampling room
bs-avg_temp,Optional,The average of temperatures taken at the beginning of every hour over a 24 hour period on the sampling day
bs-bathroom_count,Optional,The number of bathrooms in the building
bs-bedroom_count,Optional,The number of bedrooms in the building
bs-biotic_relationship,Optional,Free-living or from host (define relationship)
bs-build_docs,Optional,"The building design, construction and operation documents, e.g., building information model, commissioning report, complaint logs, contract administration, cost estimate, janitorial schedules or logs, maintenance plans, schedule, sections, shop drawings, submittals, ventilation system, windows"
bs-built_struc_age,Optional,The age of the built structure since construction
bs-built_struc_set,Optional,"The characterization of the location of the built structure as high or low human density, e.g., urban, rural"
bs-built_struc_type,Optional,A physical structure that is a body or assemblage of bodies in space to form a system capable of supporting loads
bs-ceil_area,Optional,The area of the ceiling space within the room
bs-ceil_cond,Optional,"The physical condition of the ceiling at the time of sampling, e.g., new, visible wear, needs repair, damaged, rupture"
bs-ceil_finish_mat,Optional,"The type of material used to finish a ceiling, e.g., drywall, mineral fibre, tiles, PVC, plasterboard, metal, fiberglass, stucco, mineral wool/calcium silicate, wood"
bs-ceil_struc,Optional,"The construction format of the ceiling, e.g., wood frame, concrete"
bs-ceil_texture,Optional,"The feel, appearance, or consistency of a ceiling surface, e.g., crows feet, crows-foot stomp, double skip, hawk and trowel, knockdown, popcorn, orange peel, rosebud stomp, Santa-Fe texture, skip trowel, smooth, stomp knockdown, swirl"
bs-ceil_thermal_mass,Optional,The ability of the ceiling to provide inertia against temperature fluctuations. Generally this means concrete that is exposed. A metal deck that supports a concrete slab will act thermally as long as it is exposed to room air flow
bs-ceil_type,Optional,"The type of ceiling according to the ceiling's appearance or construction, e.g., cathedral, dropped, concave, barrel-shaped, coffered, cove, stretched"
bs-ceil_water_mold,Optional,"Signs of the presence of mold or mildew on the ceiling, e.g., presence of mold visible, no presence of mold visible"
bs-collection_method,Optional,"Process used to collect the sample, e.g., bronchoalveolar lavage (BAL)"
bs-cool_syst_id,Optional,The cooling system identifier
