column_name,required_column,description
bs-sample_name,Required,Identifier name used for BioSample. Max length is 50 characters.
bs-sample_title,Required,Descriptive title for sample.
bs-sample_description,Optional,Optional description for sample.
bs-isolate,Required,identification or description of the specific individual from which this sample was obtained
bs-age,Required,"age at the time of sampling; relevant scale depends on species and study, e.g. could be seconds for amoebae or centuries for trees"
bs-biomaterial_provider,Required,"name and address of the lab or PI, or a culture collection identifier"
bs-geo_loc_name,Required,"Geographical origin of the sample; use the appropriate name from this list http://www.insdc.org/documents/country-qualifier-vocabulary. Use a colon to separate the country or ocean from more detailed information about the location, eg ""Canada: Vancouver"" or ""Germany: halfway down Zugspitze, Alps"""
bs-sex,Required,physical sex of sampled organism
bs-tissue,Required,Type of tissue the sample was taken from.
bs-cell_line,Optional,Name of the cell line.
bs-cell_subtype,Optional,
bs-cell_type,Optional,Type of cell of the sample or from which the sample was obtained.
bs-culture_collection,Optional,"Name of source institute and unique culture identifier. See the description for the proper format and list of allowed institutes, http://www.insdc.org/controlled-vocabulary-culturecollection-qualifier"
bs-dev_stage,Optional,Developmental stage at the time of sampling.
bs-disease,Optional,"list of diseases diagnosed; can include multiple diagnoses. the value of the field depends on host; for humans the terms should be chosen from DO (Disease Ontology), free text for non-human. For DO terms, please see http://gemina.svn.sourceforge.net/viewvc/gemina/trunk/Gemina/ontologies/gemina_symptom.obo?view=log"
bs-disease_stage,Optional,stage of disease at the time of sampling.
bs-ethnicity,Optional,ethnicity of the subject
bs-health_state,Optional,Health or disease status of sample at time of collection
bs-karyotype,Optional,
bs-phenotype,Optional,"Phenotype of sampled organism. For Phenotypic quality Ontology (PATO) (v1.269) terms, please see http://bioportal.bioontology.org/visualize/44601"
bs-population,Optional,"for human: ; for plants: filial generation, number of progeny, genetic structure"
bs-race,Optional,
bs-sample_type,Optional,"Sample type, such as cell culture, mixed culture, tissue sample, whole organism, single cell, metagenomic assembly"
bs-treatment,Optional,
bs-title,Optional,"Optional internal field for how the BioSample submission should be named when viewed from the NCBI submission portal. If not provided, when performing submissions <--submission_name> with the suffix ""-BS"" will be used instead."
bs-comment,Optional,Optional internal field explaining the purpose of the submission for when interacting and resolving submission issues with NCBI.
