column_name,required_column,description
bs-sample_name,Required,Identifier name used for BioSample. Max length is 50 characters.
bs-sample_title,Required,Descriptive title for sample.
bs-sample_description,Optional,Optional description for sample.
bs-isolate,Required,identification or description of the specific individual from which this sample was obtained
bs-host,"At least one field required. Group: At least one required: Group ""Source","At least one required: Group ""Source"". The natural (as opposed to laboratory) host to the organism from which the sample was obtained. Use the full taxonomic name, eg, ""Homo sapiens""."
bs-isolation_source,"At least one field required. Group: At least one required: Group ""Source","At least one required: Group ""Source"". Describes the physical, environmental and/or local geographical source of the biological sample from which the sample was derived."
bs-chem_administration,Required,"list of chemical compounds administered to the host or site where sampling occurred, and when (e.g. antibiotics, N fertilizer, air filter); can include multiple compounds. For Chemical Entities of Biological Interest ontology (CHEBI) (v1.72), please see http://bioportal.bioontology.org/visualize/44603"
bs-env_broad_scale,Required,Add terms that identify the major environment type(s) where your sample was collected. Recommend subclasses of biome [ENVO:00000428]. Multiple terms can be separated by one or more pipes e.g.:  mangrove biome [ENVO:01000181]|estuarine biome [ENVO:01000020]
bs-env_local_scale,Required,"Add terms that identify environmental entities having causal influences upon the entity at time of sampling, multiple terms can be separated by pipes, e.g.:  shoreline [ENVO:00000486]|intertidal zone [ENVO:00000316]"
bs-env_medium,Required,Add terms that identify the material displaced by the entity at time of sampling. Recommend subclasses of environmental material [ENVO:00010483]. Multiple terms can be separated by pipes e.g.: estuarine water [ENVO:01000301]|estuarine mud [ENVO:00002160]
bs-food_source,Required,"Individual organism or category of organisms from which the food product or its major ingredient is derived, e.g., giant tiger prawn [FOODON:03412612]"
bs-geo_loc_name,Required,"Geographical origin of the sample; use the appropriate name from this list http://www.insdc.org/documents/country-qualifier-vocabulary. Use a colon to separate the country or ocean from more detailed information about the location, eg ""Canada: Vancouver"" or ""Germany: halfway down Zugspitze, Alps"""
bs-host_age,Required,Age of host at the time of sampling
bs-host_common_name,Required,"The natural language (non-taxonomic) name of the host organism, e.g., mouse"
bs-host_genotype,Required,
bs-host_height,Required,the height of subject
bs-host_length,Required,the length of subject
bs-host_life_stage,Required,description of host life stage
bs-host_phenotype,Required,
bs-host_tot_mass,Required,"total mass of the host at collection, the unit depends on host"
bs-lat_lon,Required,"The geographical coordinates of the location where the sample was collected. Specify as degrees latitude and longitude in format ""d[d.dddd] N|S d[dd.dddd] W|E"", eg, 38.98 N 77.11 W"
bs-microbial_biomass,Required,"the part of the organic matter in the soil that constitutes living microorganisms smaller than 5-10 µm. IF you keep this, you would need to have correction factors used for conversion to the final units, which should be mg C (or N)/kg soil)."
bs-microbial_biomass_meth,Required,reference or method used in determining microbial biomass
bs-samp_store_dur,Required,
bs-samp_store_loc,Required,
bs-sieving,Required,collection design of pooled samples and/or sieve size and amount of sample sieved
bs-soil_type,Required,soil series name or other lower-level classification
bs-soil_type_meth,Required,reference or method used in determining soil series name or other lower-level classification
bs-source_uvig,Required,Type of dataset from which the UViG was obtained
bs-store_cond,Required,explain how and for how long the soil sample was stored before DNA extraction.
bs-temp,Required,temperature of the sample at time of sampling
bs-virus_enrich_appr,Required,"Approach used to enrich the sample for viruses, if any. If more than one approach was used, include multiple ‘virus_enrich_appr’ fields."
bs-adjacent_environment,Optional,Description of the environmental system or features that are adjacent to the sampling site. This field accepts terms under ecosystem (http://purl.obolibrary.org/obo/ENVO_01001110) and human construction (http://purl.obolibrary.org/obo/ENVO_00000070). Multiple terms can be separated by pipes
bs-agrochem_addition,Optional,"addition of fertilizers, pesticides, etc. - amount and time of applications"
bs-ances_data,Optional,"Information about either pedigree or other ancestral information description, e.g., parental variety in case of mutant or selection, A/3*B (meaning [(A x B) x B] x B)"
bs-anim_water_method,Optional,Description of the equipment or method used to distribute water to livestock. This field accepts terms listed under water delivery equipment (http://opendata.inra.fr/EOL/EOL_0001653). Multiple terms can be separated by pipes
bs-annual_precpt,Optional,"The average of all annual precipitation values known, or an estimated equivalent value derived by such methods as regional indexes or Isohyetal maps"
bs-annual_temp,Optional,Mean annual temperature
bs-biotic_relationship,Optional,Free-living or from host (define relationship)
bs-climate_environment,Optional,treatment involving an exposure to a particular climate; can include multiple climates
bs-collection_method,Optional,"Process used to collect the sample, e.g., bronchoalveolar lavage (BAL)"
bs-crop_rotation,Optional,"whether or not crop is rotated, and if yes, rotation schedule"
bs-crop_yield,Optional,Amount of crop produced per unit or area of land
bs-cult_isol_date,Optional,"A culture isolation date is a date-time entity marking the end of a process in which a sample yields a positive result for the target microbial analyte(s) in the form of an isolated colony or colonies, e.g., 5/24/2020"
bs-cur_land_use,Optional,present state of sample site
bs-cur_vegetation,Optional,"vegetation classification from one or more standard classification systems, or agricultural crop"
bs-cur_vegetation_meth,Optional,reference or method used in vegetation classification
bs-drainage_class,Optional,drainage classification from a standard system such as the USDA system
bs-elev,Optional,The elevation of the sampling site as measured by the vertical distance from mean sea level.
bs-enrichment_protocol,Optional,The microbiological workflow or protocol followed to test for the presence or enumeration of the target microbial analyte(s). Please provide a PubMed or DOI reference for published protocols
bs-estimated_size,Optional,Estimated size of genome
bs-experimental_factor,Optional,Variable aspect of experimental design
bs-extreme_event,Optional,unusual physical events that may have affected microbial populations
bs-fao_class,Optional,soil classification from the FAO World Reference Database for Soil Resources
bs-farm_equip,Optional,"List of relevant equipment used for planting, fertilization, harvesting, irrigation, land levelling, residue management, weeding or transplanting during the growing season.  This field encourages terms listed under agricultural implement (http://purl.obolibrary.org/obo/AGRO_00000416). Multiple terms can be separated by pipes, e.g., combine harvester [AGRO:00000473]"
bs-farm_equip_san,Optional,Method used to sanitize growing and harvesting equipment including type and concentration of sanitizing solution and frequency of sanitization
