column_name,required_column,description
bs-sample_name,Required,Identifier name used for BioSample. Max length is 50 characters.
bs-sample_title,Required,Descriptive title for sample.
bs-sample_description,Optional,Optional description for sample.
bs-collected_by,Required,Name of persons or institute who collected the sample
bs-geo_loc_name,Required,"Geographical origin of the sample; use the appropriate name from this list http://www.insdc.org/documents/country-qualifier-vocabulary. Use a colon to separate the country or ocean from more detailed information about the location, eg ""Canada: Vancouver"" or ""Germany: halfway down Zugspitze, Alps"""
bs-host,Required,"The natural (as opposed to laboratory) host to the organism from which the sample was obtained. Use the full taxonomic name, eg, ""Homo sapiens""."
bs-host_disease,Required,"Name of relevant disease, e.g. Salmonella gastroenteritis. Controlled vocabulary, http://bioportal.bioontology.org/ontologies/1009 or http://www.ncbi.nlm.nih.gov/mesh"
bs-isolate,Required,identification or description of the specific individual from which this sample was obtained
bs-isolation_source,Required,"Describes the physical, environmental and/or local geographical source of the biological sample from which the sample was derived."
bs-antiviral_treatment_agent,Optional,What was the antiviral treatment agent?
bs-collection_device,Optional,"Instrument or container used to collect sample, e.g., swab"
bs-collection_method,Optional,"Process used to collect the sample, e.g., bronchoalveolar lavage (BAL)"
bs-date_of_prior_antiviral_treat,Optional,"Date of the SARS-CoV-2 antiviral treatment, e.g., 2021-03-30"
bs-date_of_prior_sars_cov_2_infection,Optional,"Date of the prior SARS-CoV-2 infection, e.g., 2021-03-30"
bs-date_of_sars_cov_2_vaccination,Optional,"Date of the 1st dose of the SARS-CoV-2 vaccine, e.g., 2021-03-30"
bs-exposure_event,Optional,"Event leading to exposure, e.g., mass gathering"
bs-geo_loc_exposure,Optional,"The country where the host was likely exposed to the causative agent of the illness.  This location pertains to the country the host was believed to be exposed, and may not be the same as the host's country of residence, e.g., Canada"
bs-gisaid_accession,Optional,"The GISAID accession assigned to the sequence. GISAID Accession Numbers are used as unique and permanent identifiers for each virus beginning with the letters EPI and followed by numbers, to identify viruses and/or segments; https://www.gisaid.org/; e.g., EPI_ISL_1091361"
bs-gisaid_virus_name,Optional,"The full virus name submitted to GISAID (https://www.gisaid.org/), e.g., hCoV-19/Belgium/rega-3187/2021"
bs-host_age,Optional,Age of host at the time of sampling
bs-host_anatomical_material,Optional,"Host anatomical material or substance produced by the body where the sample was obtained, e.g., stool, mucus, saliva"
bs-host_anatomical_part,Optional,"Anatomical part of the host organism (e.g. tissue) that was sampled, e.g., nasopharynx"
bs-host_body_product,Optional,"substance produced by the host, e.g. stool, mucus, where the sample was obtained from"
bs-host_disease_outcome,Optional,"Final outcome of disease, e.g., death, chronic disease, recovery"
bs-host_health_state,Optional,Information regarding health state of the individual sampled at the time of sampling
bs-host_recent_travel_loc,Optional,"The name of the country that was the destination of most recent travel. Specify the countries (and more granular locations if known) travelled, e.g., United Kingdom. Can include multiple travels; separate multiple travel events with a semicolon."
bs-host_recent_travel_return_date,Optional,"The date of a person's most recent return to some residence from a journey originating at that residence, e.g., 2021-03-30"
bs-host_sex,Optional,Biological sex of the host
bs-host_specimen_voucher,Optional,"Identifier for the physical specimen. Include a URI (Uniform Resource Identifier) in the form of a URL providing a direct link to the physical host specimen. If the specimen was destroyed in the process of analysis, electronic images (e-vouchers) are an adequate substitute for a physical host voucher specimen. If a URI is not available, a museum-provided globally unique identifier (GUID) can be used. URI example:  http://portal.vertnet.org/o/fmnh/mammals?id=33e55cfe-330b-40d9-aaae-8d042cba7542; INSDC triplet example: UAM:Mamm:52179"
bs-host_subject_id,Optional,"a unique identifier by which each subject can be referred to, de-identified, e.g. #131"
bs-lat_lon,Optional,"The geographical coordinates of the location where the sample was collected. Specify as degrees latitude and longitude in format ""d[d.dddd] N|S d[dd.dddd] W|E"", eg, 38.98 N 77.11 W"
bs-passage_method,Optional,"Description of how the organism was passaged. Provide a short description, e.g., AVL buffer+30%EtOH lysate received from Respiratory Lab. P3 passage in Vero-1 via bioreactor large-scale batch passage. P3 batch derived from the SP-2/reference lab strain. If not passaged, put """"not applicable""""."
bs-passage_number,Optional,"The number of known passages, e.g., 3. If not passaged, put """"not applicable""""."
bs-prior_sars_cov_2_antiviral_treat,Optional,Has the host received SARS-CoV-2 antiviral treatment?
bs-prior_sars_cov_2_infection,Optional,Did the host have a prior SARS-CoV-2 infection?
bs-prior_sars_cov_2_vaccination,Optional,Has the host received a SARS-CoV-2 vaccination?
bs-purpose_of_sampling,Optional,"the reason that the sample was collected, e.g., active surveillance in response to an outbreak, active surveillance not initiated by an outbreak, clinical trial, cluster investigation, environmental assessment, farm sample, field trial, for cause, industry internal investigation, market sample, passive surveillance, population based studies, research, research and development"
bs-purpose_of_sequencing,Optional,"The reason the sample was sequenced, e.g., baseline surveillance (random sampling)"
bs-sars_cov_2_diag_gene_name_1,Optional,The name of the gene used in the first diagnostic SARS-CoV-2 RT-PCR test.
bs-sars_cov_2_diag_gene_name_2,Optional,The name of the gene used in the second diagnostic SARS-CoV-2 RT-PCR test.
bs-sars_cov_2_diag_pcr_ct_value_1,Optional,"The cycle threshold (CT) value result from the first diagnostic SARS-CoV-2 RT-PCR test, e.g., 21"
bs-sars_cov_2_diag_pcr_ct_value_2,Optional,"The cycle threshold (CT) value result from the second diagnostic SARS-CoV-2 RT-PCR test, e.g., 36"
bs-sequenced_by,Optional,"The name of the agency that generated the sequence, e.g., Centers for Disease Control and Prevention"
bs-vaccine_received,Optional,"Which vaccine did the host receive, e.g., Pfizer-BioNTech COVID-19 vaccine"
bs-virus_isolate_of_prior_infection,Optional,"Specific isolate of SARS-CoV-2 in prior infection (if known), e.g., SARS-CoV-2/human/USA/CA-CDPH-001/2020"
