column_name,required_column,description
bs-sample_name,Required,Identifier name used for BioSample. Max length is 50 characters.
bs-sample_title,Required,Descriptive title for sample.
bs-sample_description,Optional,Optional description for sample.
bs-strain,"At least one field required. Group: At least one required: Group ""Organism","At least one required: Group ""Organism"". microbial or eukaryotic strain name"
bs-isolate,"At least one field required. Group: At least one required: Group ""Organism","At least one required: Group ""Organism"". identification or description of the specific individual from which this sample was obtained"
bs-depth,Required,"Depth is defined as the vertical distance below surface, e.g. for sediment or soil samples depth is measured from sediment or soil surface, respectivly. Depth can be reported as an interval for subsurface samples."
bs-elev,Required,The elevation of the sampling site as measured by the vertical distance from mean sea level.
bs-env_broad_scale,Required,Add terms that identify the major environment type(s) where your sample was collected. Recommend subclasses of biome [ENVO:00000428]. Multiple terms can be separated by one or more pipes e.g.:  mangrove biome [ENVO:01000181]|estuarine biome [ENVO:01000020]
bs-env_local_scale,Required,"Add terms that identify environmental entities having causal influences upon the entity at time of sampling, multiple terms can be separated by pipes, e.g.:  shoreline [ENVO:00000486]|intertidal zone [ENVO:00000316]"
bs-env_medium,Required,Add terms that identify the material displaced by the entity at time of sampling. Recommend subclasses of environmental material [ENVO:00010483]. Multiple terms can be separated by pipes e.g.: estuarine water [ENVO:01000301]|estuarine mud [ENVO:00002160]
bs-geo_loc_name,Required,"Geographical origin of the sample; use the appropriate name from this list http://www.insdc.org/documents/country-qualifier-vocabulary. Use a colon to separate the country or ocean from more detailed information about the location, eg ""Canada: Vancouver"" or ""Germany: halfway down Zugspitze, Alps"""
bs-isol_growth_condt,Required,PMID or url for isolation and growth condition specifications
bs-lat_lon,Required,"The geographical coordinates of the location where the sample was collected. Specify as degrees latitude and longitude in format ""d[d.dddd] N|S d[dd.dddd] W|E"", eg, 38.98 N 77.11 W"
bs-propagation,Required,phage: lytic/lysogenic/temperate/obligately lytic; plasmid: incompatibility group; eukaryote: asexual/sexual
bs-alkalinity,Optional,"alkalinity, the ability of a solution to neutralize acids to the equivalence point of carbonate or bicarbonate"
bs-alkyl_diethers,Optional,concentration of alkyl diethers
bs-altitude,Optional,The altitude of the sample is the vertical distance between Earth's surface above Sea Level and the sampled position in the air.
bs-aminopept_act,Optional,measurement of aminopeptidase activity
bs-ammonium,Optional,concentration of ammonium
bs-bacteria_carb_prod,Optional,measurement of bacterial carbon production
bs-biomass,Optional,"amount of biomass; should include the name for the part of biomass measured, e.g. microbial, total. can include multiple measurements"
bs-biotic_relationship,Optional,Free-living or from host (define relationship)
bs-bishomohopanol,Optional,concentration of bishomohopanol
bs-bromide,Optional,concentration of bromide
bs-calcium,Optional,concentration of calcium
bs-carb_nitro_ratio,Optional,ratio of amount or concentrations of carbon to nitrogen
bs-chem_administration,Optional,"list of chemical compounds administered to the host or site where sampling occurred, and when (e.g. antibiotics, N fertilizer, air filter); can include multiple compounds. For Chemical Entities of Biological Interest ontology (CHEBI) (v1.72), please see http://bioportal.bioontology.org/visualize/44603"
bs-chloride,Optional,concentration of chloride
bs-chlorophyll,Optional,concentration of chlorophyll
bs-collection_method,Optional,"Process used to collect the sample, e.g., bronchoalveolar lavage (BAL)"
bs-density,Optional,density of sample
bs-diether_lipids,Optional,concentration of diether lipids; can include multiple types of diether lipids
bs-diss_carb_dioxide,Optional,concentration of dissolved carbon dioxide
bs-diss_hydrogen,Optional,concentration of dissolved hydrogen
bs-diss_inorg_carb,Optional,dissolved inorganic carbon concentration
bs-diss_org_carb,Optional,concentration of dissolved organic carbon
bs-diss_org_nitro,Optional,dissolved organic nitrogen concentration measured as; total dissolved nitrogen - NH4 - NO3 - NO2
bs-diss_oxygen,Optional,concentration of dissolved oxygen
bs-encoded_traits,Optional,Traits like antibiotic resistance/xenobiotic degration phenotypes/converting phage genes
bs-estimated_size,Optional,Estimated size of genome
bs-glucosidase_act,Optional,measurement of glucosidase activity
bs-host,Optional,"The natural (as opposed to laboratory) host to the organism from which the sample was obtained. Use the full taxonomic name, eg, ""Homo sapiens""."
bs-host_disease,Optional,"Name of relevant disease, e.g. Salmonella gastroenteritis. Controlled vocabulary, http://bioportal.bioontology.org/ontologies/1009 or http://www.ncbi.nlm.nih.gov/mesh"
bs-host_taxid,Optional,"NCBI taxonomy ID of the host, e.g. 9606"
bs-isolation_source,Optional,"Describes the physical, environmental and/or local geographical source of the biological sample from which the sample was derived."
bs-magnesium,Optional,concentration of magnesium
bs-mean_frict_vel,Optional,measurement of mean friction velocity
bs-mean_peak_frict_vel,Optional,measurement of mean peak friction velocity
bs-methane,Optional,methane (gas) amount or concentration at the time of sampling
bs-misc_param,Optional,"any other measurement performed or parameter collected, that is not listed here"
bs-n_alkanes,Optional,concentration of n-alkanes; can include multiple n-alkanes
bs-neg_cont_type,Optional,"The substance or equipment used as a negative control in an investigation, e.g., distilled water, phosphate buffer, empty collection device, empty collection tube, DNA-free PCR mix, sterile swab, sterile syringe"
bs-nitrate,Optional,concentration of nitrate
bs-nitrite,Optional,concentration of nitrite
bs-nitro,Optional,concentration of nitrogen (total)
bs-num_replicons,Optional,Number of replicons in nuclear genome
bs-omics_observ_id,Optional,"A unique identifier of the omics-enabled observatory (or comparable time series) your data derives from. This identifier should be provided by the OMICON ontology; if you require a new identifier for your time series, contact the ontology's developers. Information is available here: https://github.com/GLOMICON/omicon. This field is only applicable to records which derive from an omics time-series or observatory."
bs-org_carb,Optional,concentration of organic carbon
bs-org_matter,Optional,concentration of organic matter
bs-org_nitro,Optional,concentration of organic nitrogen
bs-organism_count,Optional,"total count of any organism per gram or volume of sample,should include name of organism followed by count; can include multiple organism counts"
bs-oxy_stat_samp,Optional,oxygenation status of sample
