column_name,required_column,description
bs-sample_name,Required,Identifier name used for BioSample. Max length is 50 characters.
bs-sample_title,Required,Descriptive title for sample.
bs-sample_description,Optional,Optional description for sample.
bs-strain,"At least one field required. Group: At least one required: Group ""Organism","At least one required: Group ""Organism"". microbial or eukaryotic strain name"
bs-isolate,"At least one field required. Group: At least one required: Group ""Organism","At least one required: Group ""Organism"". identification or description of the specific individual from which this sample was obtained"
bs-cultivar,"At least one field required. Group: At least one required: Group ""Organism","At least one required: Group ""Organism"". cultivar name - cultivated variety of plant"
bs-ecotype,"At least one field required. Group: At least one required: Group ""Organism","At least one required: Group ""Organism"". a population within a given species displaying genetically based, phenotypic traits that reflect adaptation to a local habitat, e.g., Columbia"
bs-env_broad_scale,Required,Add terms that identify the major environment type(s) where your sample was collected. Recommend subclasses of biome [ENVO:00000428]. Multiple terms can be separated by one or more pipes e.g.:  mangrove biome [ENVO:01000181]|estuarine biome [ENVO:01000020]
bs-env_local_scale,Required,"Add terms that identify environmental entities having causal influences upon the entity at time of sampling, multiple terms can be separated by pipes, e.g.:  shoreline [ENVO:00000486]|intertidal zone [ENVO:00000316]"
bs-env_medium,Required,Add terms that identify the material displaced by the entity at time of sampling. Recommend subclasses of environmental material [ENVO:00010483]. Multiple terms can be separated by pipes e.g.: estuarine water [ENVO:01000301]|estuarine mud [ENVO:00002160]
bs-geo_loc_name,Required,"Geographical origin of the sample; use the appropriate name from this list http://www.insdc.org/documents/country-qualifier-vocabulary. Use a colon to separate the country or ocean from more detailed information about the location, eg ""Canada: Vancouver"" or ""Germany: halfway down Zugspitze, Alps"""
bs-host,Required,"The natural (as opposed to laboratory) host to the organism from which the sample was obtained. Use the full taxonomic name, eg, ""Homo sapiens""."
bs-isol_growth_condt,Required,PMID or url for isolation and growth condition specifications
bs-lat_lon,Required,"The geographical coordinates of the location where the sample was collected. Specify as degrees latitude and longitude in format ""d[d.dddd] N|S d[dd.dddd] W|E"", eg, 38.98 N 77.11 W"
bs-air_temp_regm,Optional,"information about treatment involving an exposure to varying temperatures; should include the temperature, treatment duration, interval and total experimental duration; can include different temperature regimens"
bs-altitude,Optional,The altitude of the sample is the vertical distance between Earth's surface above Sea Level and the sampled position in the air.
bs-ances_data,Optional,"Information about either pedigree or other ancestral information description, e.g., parental variety in case of mutant or selection, A/3*B (meaning [(A x B) x B] x B)"
bs-antibiotic_regm,Optional,"information about treatment involving antibiotic administration; should include the name of antibiotic, amount administered, treatment duration, interval and total experimental duration; can include multiple antibiotic regimens"
bs-biol_stat,Optional,"The level of genome modification, e.g., wild, natural, semi-natural, inbred line, breeder's line, hybrid, clonal selection, mutant"
bs-biotic_regm,Optional,"Information about treatment(s) involving use of biotic factors, such as bacteria, viruses or fungi"
bs-biotic_relationship,Optional,Free-living or from host (define relationship)
bs-chem_administration,Optional,"list of chemical compounds administered to the host or site where sampling occurred, and when (e.g. antibiotics, N fertilizer, air filter); can include multiple compounds. For Chemical Entities of Biological Interest ontology (CHEBI) (v1.72), please see http://bioportal.bioontology.org/visualize/44603"
bs-chem_mutagen,Optional,"treatment involving use of mutagens; should include the name of mutagen, amount administered, treatment duration, interval and total experimental duration; can include multiple mutagen regimens"
bs-climate_environment,Optional,treatment involving an exposure to a particular climate; can include multiple climates
bs-collection_method,Optional,"Process used to collect the sample, e.g., bronchoalveolar lavage (BAL)"
bs-cult_root_med,Optional,"Name or reference for the hydroponic or in vitro culture rooting medium; can be the name of a commonly used medium or reference to a specific medium, e.g., Murashige and Skoog medium. If the medium has not been formally published, use the rooting medium descriptors"
bs-depth,Optional,"Depth is defined as the vertical distance below surface, e.g. for sediment or soil samples depth is measured from sediment or soil surface, respectivly. Depth can be reported as an interval for subsurface samples."
bs-elev,Optional,The elevation of the sampling site as measured by the vertical distance from mean sea level.
bs-estimated_size,Optional,Estimated size of genome
bs-extrachrom_elements,Optional,Plasmids that have significance phenotypic consequence
bs-fertilizer_regm,Optional,"information about treatment involving the use of fertilizers; should include the name fertilizer, amount administered, treatment duration, interval and total experimental duration; can include multiple fertilizer regimens"
bs-fungicide_regm,Optional,"information about treatment involving use of fungicides; should include the name of fungicide, amount administered, treatment duration, interval and total experimental duration; can include multiple fungicide regimens"
bs-gaseous_environment,Optional,"use of conditions with differing gaseous environments; should include the name of gaseous compound, amount administered, treatment duration, interval and total experimental duration; can include multiple gaseous environment regimens"
bs-genetic_mod,Optional,"Genetic modifications of the genome of an organism, which may occur naturally by spontaneous mutation, or be introduced by some experimental means, e.g. specification of a transgene or the gene knocked-out or details of transient transfection"
bs-gravity,Optional,"information about treatment involving use of gravity factor to study various types of responses in presence, absence or modified levels of gravity; can include multiple treatments"
bs-growth_facil,Optional,"Type of facility where the sampled plant was grown; controlled vocabulary: growth chamber, open top chamber, glasshouse, experimental garden, field. Alternatively use Crop Ontology (CO) terms, see http://www.cropontology.org/ontology/CO_715/Crop%20Research"
bs-growth_habit,Optional,"Characteristic shape, appearance or growth form of a plant species, e.g., erect, semi-erect, spreading, prostrate"
bs-growth_hormone_regm,Optional,"information about treatment involving use of growth hormones; should include the name of growth hormone, amount administered, treatment duration, interval and total experimental duration; can include multiple growth hormone regimens"
bs-herbicide_regm,Optional,"information about treatment involving use of herbicides; information about treatment involving use of growth hormones; should include the name of herbicide, amount administered, treatment duration, interval and total experimental duration; can include multiple regimens"
bs-host_age,Optional,Age of host at the time of sampling
bs-host_common_name,Optional,"The natural language (non-taxonomic) name of the host organism, e.g., mouse"
bs-host_disease,Optional,"Name of relevant disease, e.g. Salmonella gastroenteritis. Controlled vocabulary, http://bioportal.bioontology.org/ontologies/1009 or http://www.ncbi.nlm.nih.gov/mesh"
