column_name,required_column,description
bs-sample_name,Required,Identifier name used for BioSample. Max length is 50 characters.
bs-sample_title,Required,Descriptive title for sample.
bs-sample_description,Optional,Optional description for sample.
bs-strain,"At least one field required. Group: At least one required: Group ""Organism","At least one required: Group ""Organism"". microbial or eukaryotic strain name"
bs-isolate,"At least one field required. Group: At least one required: Group ""Organism","At least one required: Group ""Organism"". identification or description of the specific individual from which this sample was obtained"
bs-cultivar,"At least one field required. Group: At least one required: Group ""Organism","At least one required: Group ""Organism"". cultivar name - cultivated variety of plant"
bs-ecotype,"At least one field required. Group: At least one required: Group ""Organism","At least one required: Group ""Organism"". a population within a given species displaying genetically based, phenotypic traits that reflect adaptation to a local habitat, e.g., Columbia"
bs-env_broad_scale,Required,Add terms that identify the major environment type(s) where your sample was collected. Recommend subclasses of biome [ENVO:00000428]. Multiple terms can be separated by one or more pipes e.g.:  mangrove biome [ENVO:01000181]|estuarine biome [ENVO:01000020]
bs-env_local_scale,Required,"Add terms that identify environmental entities having causal influences upon the entity at time of sampling, multiple terms can be separated by pipes, e.g.:  shoreline [ENVO:00000486]|intertidal zone [ENVO:00000316]"
bs-env_medium,Required,Add terms that identify the material displaced by the entity at time of sampling. Recommend subclasses of environmental material [ENVO:00010483]. Multiple terms can be separated by pipes e.g.: estuarine water [ENVO:01000301]|estuarine mud [ENVO:00002160]
bs-geo_loc_name,Required,"Geographical origin of the sample; use the appropriate name from this list http://www.insdc.org/documents/country-qualifier-vocabulary. Use a colon to separate the country or ocean from more detailed information about the location, eg ""Canada: Vancouver"" or ""Germany: halfway down Zugspitze, Alps"""
bs-host_dependence,Required,"Type of host dependence for the symbiotic host organism to its host., e.g., facultative, obligate"
bs-host_life_stage,Required,description of host life stage
bs-isol_growth_condt,Required,PMID or url for isolation and growth condition specifications
bs-lat_lon,Required,"The geographical coordinates of the location where the sample was collected. Specify as degrees latitude and longitude in format ""d[d.dddd] N|S d[dd.dddd] W|E"", eg, 38.98 N 77.11 W"
bs-sym_life_cycle_type,Required,"Type of life cycle of the symbiotic host species (the thing being sampled). Simple life cycles occur within a single host, complex ones within multiple different hosts over the course of their normal life cycle, e.g., complex life cycle, simple life cycle"
bs-altitude,Optional,The altitude of the sample is the vertical distance between Earth's surface above Sea Level and the sampled position in the air.
bs-association_duration,Optional,Time spent in host of the symbiotic organism at the time of sampling; relevant scale depends on symbiotic organism and study
bs-biotic_relationship,Optional,Free-living or from host (define relationship)
bs-chem_administration,Optional,"list of chemical compounds administered to the host or site where sampling occurred, and when (e.g. antibiotics, N fertilizer, air filter); can include multiple compounds. For Chemical Entities of Biological Interest ontology (CHEBI) (v1.72), please see http://bioportal.bioontology.org/visualize/44603"
bs-collection_method,Optional,"Process used to collect the sample, e.g., bronchoalveolar lavage (BAL)"
bs-depth,Optional,"Depth is defined as the vertical distance below surface, e.g. for sediment or soil samples depth is measured from sediment or soil surface, respectivly. Depth can be reported as an interval for subsurface samples."
bs-elev,Optional,The elevation of the sampling site as measured by the vertical distance from mean sea level.
bs-estimated_size,Optional,Estimated size of genome
bs-extrachrom_elements,Optional,Plasmids that have significance phenotypic consequence
bs-gravidity,Optional,"whether or not subject is gravid, and if yes date due or date post-conception, specifying which is used"
bs-host,Optional,"The natural (as opposed to laboratory) host to the organism from which the sample was obtained. Use the full taxonomic name, eg, ""Homo sapiens""."
bs-host_age,Optional,Age of host at the time of sampling
bs-host_body_habitat,Optional,original body habitat where the sample was obtained from
bs-host_body_product,Optional,"substance produced by the host, e.g. stool, mucus, where the sample was obtained from"
bs-host_cellular_loc,Optional,"The localization of the symbiotic host organism within the host from which it was sampled, e.g., intracellular, extracellular"
bs-host_color,Optional,the color of host
bs-host_common_name,Optional,"The natural language (non-taxonomic) name of the host organism, e.g., mouse"
bs-host_disease,Optional,"Name of relevant disease, e.g. Salmonella gastroenteritis. Controlled vocabulary, http://bioportal.bioontology.org/ontologies/1009 or http://www.ncbi.nlm.nih.gov/mesh"
bs-host_dry_mass,Optional,measurement of dry mass
bs-host_family_relationship,Optional,
bs-host_genotype,Optional,
bs-host_growth_cond,Optional,literature reference giving growth conditions of the host
bs-host_height,Optional,the height of subject
bs-host_infra_specific_name,Optional,taxonomic information subspecies level
bs-host_infra_specific_rank,Optional,"taxonomic rank information below subspecies level, such as variety, form, rank etc."
bs-host_length,Optional,the length of subject
bs-host_number,Optional,Number of symbiotic host individuals pooled at the time of collection
bs-host_of_host_coinf,Optional,"The taxonomic name of any coinfecting organism observed in a symbiotic relationship with the host of the sampled host organism, e.g. where a sample collected from a host trematode species (A) which was collected from a host_of_host fish (B) that was also infected with a nematode (C), the value here would be (C) the nematode {species name} or {common name}. Multiple co-infecting species may be added in a comma-separated list. For listing symbiotic organisms associated with the host (A) use the term Observed host symbiont"
bs-host_of_host_disease,Optional,"List of diseases with which the host of the symbiotic host organism has been diagnosed; can include multiple diagnoses. The value of the field depends on host; for humans the terms should be chosen from the DO (Human Disease Ontology) at https://www.disease-ontology.org, non-human host diseases are free text"
bs-host_of_host_env_loc,Optional,"For a symbiotic host organism the local anatomical environment within its host may have causal influences. Report the anatomical entity(s) which are in the direct environment of the symbiotic host organism being sampled and which you believe have significant causal influences on your sample or specimen. For example, if the symbiotic host organism being sampled is an intestinal worm, its local environmental context will be the term for intestine from UBERON (http://uberon.github.io/)"
