column_name,required_column,description
sra-sample_name,Required,Identifier name used for SRA. Max length is 50 characters. Name must be unique from BioSample or Genbank submission.
sra-file_location,Required,"Location of raw reads files. Options: ""local"" or ""cloud""."
sra-file_name,Required,"Name of the raw read files. All file names must be unique and not contain any sensitive information. Files can be compressed using gzip or bzip2, and may be submitted in a tar archive but archiving and/or compressing your files is not required. Do not use zip! If there are multiple files, concatenate them with a commas ("",""), e.g. ""sample1_R1.fastq.gz, sample1_R2.fastq.gz"". Store files in /seqsender/data/raw_reads/ or provide full html path to the raw read files."
sra-library_name,Optional,Short unique identifier for sequencing library.
sra-library_strategy,Required,The sequencing technique intended for the library.
sra-library_source,Required,The type of source material that is being sequenced.
sra-library_selection,Required,The method used to select and/or enrich the material being sequenced.
sra-library_layout,Required,"Whether to expect SINGLE or PAIRED end reads. Options: ""single"" or ""paired""."
sra-platform,Optional,Instrument platform.
sra-instrument_model,Required,Instrument model used for sequencing.
sra-design_description,Optional,Brief description of materials/methods used for creating sequencing library.
