column_name,required_column,description
bs-sample_name,Required,Identifier name used for BioSample. Max length is 50 characters.
bs-sample_title,Required,Descriptive title for sample.
bs-sample_description,Optional,Optional description for sample.
bs-isolate,Required,identification or description of the specific individual from which this sample was obtained
bs-env_broad_scale,Required,Add terms that identify the major environment type(s) where your sample was collected. Recommend subclasses of biome [ENVO:00000428]. Multiple terms can be separated by one or more pipes e.g.:  mangrove biome [ENVO:01000181]|estuarine biome [ENVO:01000020]
bs-env_local_scale,Required,"Add terms that identify environmental entities having causal influences upon the entity at time of sampling, multiple terms can be separated by pipes, e.g.:  shoreline [ENVO:00000486]|intertidal zone [ENVO:00000316]"
bs-env_medium,Required,Add terms that identify the material displaced by the entity at time of sampling. Recommend subclasses of environmental material [ENVO:00010483]. Multiple terms can be separated by pipes e.g.: estuarine water [ENVO:01000301]|estuarine mud [ENVO:00002160]
bs-geo_loc_name,Required,"Geographical origin of the sample; use the appropriate name from this list http://www.insdc.org/documents/country-qualifier-vocabulary. Use a colon to separate the country or ocean from more detailed information about the location, eg ""Canada: Vancouver"" or ""Germany: halfway down Zugspitze, Alps"""
bs-isolation_source,Required,"Describes the physical, environmental and/or local geographical source of the biological sample from which the sample was derived."
bs-lat_lon,Required,"The geographical coordinates of the location where the sample was collected. Specify as degrees latitude and longitude in format ""d[d.dddd] N|S d[dd.dddd] W|E"", eg, 38.98 N 77.11 W"
bs-chem_administration,Optional,"list of chemical compounds administered to the host or site where sampling occurred, and when (e.g. antibiotics, N fertilizer, air filter); can include multiple compounds. For Chemical Entities of Biological Interest ontology (CHEBI) (v1.72), please see http://bioportal.bioontology.org/visualize/44603"
bs-collection_method,Optional,"Process used to collect the sample, e.g., bronchoalveolar lavage (BAL)"
bs-ethnicity,Optional,ethnicity of the subject
bs-experimental_factor,Optional,Variable aspect of experimental design
bs-host_age,Optional,Age of host at the time of sampling
bs-host_body_mass_index,Optional,"body mass index of the host, calculated as weight/(height)squared"
bs-host_body_product,Optional,"substance produced by the host, e.g. stool, mucus, where the sample was obtained from"
bs-host_body_temp,Optional,core body temperature of the host when sample was collected
bs-host_diet,Optional,"type of diet depending on the sample for animals omnivore, herbivore etc., for humans high-fat, meditteranean etc.; can include multiple diet types"
bs-host_disease,Optional,"Name of relevant disease, e.g. Salmonella gastroenteritis. Controlled vocabulary, http://bioportal.bioontology.org/ontologies/1009 or http://www.ncbi.nlm.nih.gov/mesh"
bs-host_family_relationship,Optional,
bs-host_genotype,Optional,
bs-host_height,Optional,the height of subject
bs-host_last_meal,Optional,content of last meal and time since feeding; can include multiple values
bs-host_occupation,Optional,most frequent job performed by subject
bs-host_phenotype,Optional,
bs-host_pulse,Optional,"resting pulse of the host, measured as beats per minute"
bs-host_sex,Optional,Biological sex of the host
bs-host_subject_id,Optional,"a unique identifier by which each subject can be referred to, de-identified, e.g. #131"
bs-host_symbiont,Optional,"The taxonomic name of the organism(s) found living in mutualistic, commensalistic, or parasitic symbiosis with the specific host"
bs-host_tissue_sampled,Optional,"name of body site where the sample was obtained from, such as a specific organ or tissue, e.g., tongue, lung. For foundational model of anatomy ontology (fma) (v 4.11.0) or Uber-anatomy ontology (UBERON) (v releases/2014-06-15) terms, please see http://purl.bioontology.org/ontology/FMA or http://purl.bioontology.org/ontology/UBERON"
bs-host_tot_mass,Optional,"total mass of the host at collection, the unit depends on host"
bs-ihmc_medication_code,Optional,can include multiple medication codes
bs-medic_hist_perform,Optional,whether full medical history was collected
bs-misc_param,Optional,"any other measurement performed or parameter collected, that is not listed here"
bs-neg_cont_type,Optional,"The substance or equipment used as a negative control in an investigation, e.g., distilled water, phosphate buffer, empty collection device, empty collection tube, DNA-free PCR mix, sterile swab, sterile syringe"
bs-nose_mouth_teeth_throat_disord,Optional,history of nose/mouth/teeth/throat disorders; can include multiple disorders
bs-omics_observ_id,Optional,"A unique identifier of the omics-enabled observatory (or comparable time series) your data derives from. This identifier should be provided by the OMICON ontology; if you require a new identifier for your time series, contact the ontology's developers. Information is available here: https://github.com/GLOMICON/omicon. This field is only applicable to records which derive from an omics time-series or observatory."
bs-organism_count,Optional,"total count of any organism per gram or volume of sample,should include name of organism followed by count; can include multiple organism counts"
bs-oxy_stat_samp,Optional,oxygenation status of sample
bs-perturbation,Optional,"type of perturbation, e.g. chemical administration, physical disturbance, etc., coupled with time that perturbation occurred; can include multiple perturbation types"
bs-pos_cont_type,Optional,"The substance, mixture, product, or apparatus used to verify that a process which is part of an investigation delivers a true positive"
bs-ref_biomaterial,Optional,Primary publication or genome report
bs-rel_to_oxygen,Optional,"Is this organism an aerobe, anaerobe? Please note that aerobic and anaerobic are valid descriptors for microbial environments, eg, aerobe, anaerobe, facultative, microaerophilic, microanaerobe, obligate aerobe, obligate anaerobe, missing, not applicable, not collected, not provided, restricted access"
bs-samp_collect_device,Optional,Method or device employed for collecting sample
bs-samp_mat_process,Optional,Processing applied to the sample during or after isolation
bs-samp_salinity,Optional,
bs-samp_size,Optional,"Amount or size of sample (volume, mass or area) that was collected"
bs-samp_store_dur,Optional,
bs-samp_store_loc,Optional,
bs-samp_store_temp,Optional,
bs-samp_vol_we_dna_ext,Optional,volume (mL) or weight (g) of sample processed for DNA extraction
bs-size_frac,Optional,"Filtering pore size used in sample preparation, e.g., 0-0.22 micrometer"
bs-source_material_id,Optional,"unique identifier assigned to a material sample used for extracting nucleic acids, and subsequent sequencing. The identifier can refer either to the original material collected or to any derived sub-samples."
bs-temp,Optional,temperature of the sample at time of sampling
bs-time_last_toothbrush,Optional,specification of the time since last toothbrushing
bs-wga_amp_appr,Optional,"method used to amplify genomic DNA in preparation for sequencing. Examples: MDR, WGA-X, MDA"
